subject,file,task,n_volumes,onset,duration,trial_type,stim_file
sub-285,sub-285_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-286,sub-286_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-286,sub-286_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-286,sub-286_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-286,sub-286_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-287,sub-287_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-287,sub-287_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-287,sub-287_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-287,sub-287_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-288,sub-288_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-288,sub-288_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-288,sub-288_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-288,sub-288_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-289,sub-289_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-289,sub-289_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-289,sub-289_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-289,sub-289_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-290,sub-290_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-290,sub-290_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-290,sub-290_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-290,sub-290_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-291,sub-291_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-291,sub-291_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-291,sub-291_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-291,sub-291_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-292,sub-292_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-292,sub-292_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-292,sub-292_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-292,sub-292_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-293,sub-293_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-293,sub-293_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-293,sub-293_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-293,sub-293_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-294,sub-294_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-294,sub-294_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-294,sub-294_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-294,sub-294_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-295,sub-295_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-295,sub-295_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-295,sub-295_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-295,sub-295_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-296,sub-296_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-296,sub-296_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-296,sub-296_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-296,sub-296_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-297,sub-297_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-297,sub-297_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-297,sub-297_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-297,sub-297_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-298,sub-298_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-298,sub-298_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-298,sub-298_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-298,sub-298_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-299,sub-299_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-299,sub-299_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-299,sub-299_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-299,sub-299_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-300,sub-300_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-300,sub-300_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-300,sub-300_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-300,sub-300_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-301,sub-301_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-301,sub-301_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-301,sub-301_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-301,sub-301_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-302,sub-302_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-302,sub-302_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-302,sub-302_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-302,sub-302_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-303,sub-303_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-303,sub-303_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-303,sub-303_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-303,sub-303_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-304,sub-304_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
